"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"29.01.2025","9.196,00","9.050,00","9.200,00","9.050,00","2,36K","1,68%"
"28.01.2025","9.044,00","9.075,00","9.090,00","8.919,00","3,25K","-0,12%"
"27.01.2025","9.055,00","9.120,00","9.214,00","8.982,00","3,13K","-1,43%"
"24.01.2025","9.186,00","9.213,00","9.269,00","9.002,00","3,19K","0,03%"
"23.01.2025","9.183,00","9.380,00","9.411,00","9.109,00","5,18K","-1,75%"
"22.01.2025","9.347,00","9.199,00","9.427,00","9.103,00","6,01K","1,16%"
"21.01.2025","9.240,00","9.035,00","9.308,00","8.998,00","5,63K","2,62%"
"20.01.2025","9.004,00","8.957,00","9.027,00","8.775,00","3,93K","0,55%"
"17.01.2025","8.955,00","8.522,00","9.036,00","8.508,00","7,32K","4,99%"
"16.01.2025","8.529,00","8.636,00","8.745,00","8.500,00","6,97K","-2,48%"
"15.01.2025","8.746,00","8.856,00","8.900,00","8.659,00","3,75K","-1,25%"
"14.01.2025","8.857,00","8.860,00","9.080,00","8.812,00","3,80K","0,11%"
"13.01.2025","8.847,00","8.644,00","8.873,00","8.550,00","4,54K","3,11%"
"10.01.2025","8.580,00","8.825,00","8.825,00","8.512,00","6,86K","-2,54%"
"09.01.2025","8.804,00","9.090,00","9.237,00","8.610,00","8,09K","3,39%"
"08.01.2025","8.515,00","9.017,00","9.050,00","8.500,00","9,05K","-5,48%"
"07.01.2025","9.009,00","8.999,00","9.225,00","8.914,00","3,88K","-0,23%"
"06.01.2025","9.030,00","9.171,00","9.380,00","8.858,00","7,23K","0,11%"
"03.01.2025","9.020,00","9.090,00","9.188,00","8.935,00","2,96K","0,51%"
"02.01.2025","8.974,00","9.133,00","9.272,00","8.785,00","3,99K","-1,85%"
"31.12.2024","9.143,00","8.999,00","9.272,00","8.884,00","5,60K","0,32%"
"30.12.2024","9.114,00","8.078,00","9.218,00","7.809,00","8,96K","12,28%"
"27.12.2024","8.117,00","8.820,00","8.950,00","8.069,00","7,62K","-11,13%"
"24.12.2024","9.134,00","9.334,00","9.389,00","9.101,00","1,85K","-2,54%"
"23.12.2024","9.372,00","9.482,00","9.577,00","9.300,00","2,67K","-1,26%"
"20.12.2024","9.492,00","9.400,00","9.750,00","9.100,00","5,71K","-1,79%"
"19.12.2024","9.665,00","9.935,00","9.994,00","9.568,00","6,79K","-2,63%"
"18.12.2024","9.926,00","9.391,00","10.100,00","9.288,00","9,28K","7,12%"
"17.12.2024","9.266,00","9.302,00","9.501,00","9.127,00","6,56K","-0,93%"
"16.12.2024","9.353,00","8.926,00","9.440,00","8.926,00","8,72K","4,78%"
"13.12.2024","8.926,00","8.622,00","8.953,00","8.561,00","6,92K","8,01%"
"12.12.2024","8.264,00","8.264,00","8.264,00","8.264,00","","-0,02%"
"11.12.2024","8.266,00","8.518,00","8.537,00","8.187,00","0,28K","-2,22%"
"10.12.2024","8.454,00","8.469,00","8.560,00","8.396,00","0,35K","1,09%"
"09.12.2024","8.363,00","8.251,00","8.579,00","8.193,00","0,40K","2,54%"
"06.12.2024","8.156,00","8.025,00","8.284,00","7.968,00","0,70K","2,05%"
"05.12.2024","7.992,00","7.655,00","8.190,00","7.633,00","0,56K","5,27%"
"04.12.2024","7.592,00","7.512,00","7.646,00","7.340,00","0,97K","2,93%"
"03.12.2024","7.376,00","8.010,00","8.100,00","7.357,00","1,60K","-7,71%"
"02.12.2024","7.992,00","7.950,00","8.067,00","7.894,00","0,69K","0,74%"
"29.11.2024","7.933,00","7.865,00","8.000,00","7.753,00","1,75K","1,17%"
"28.11.2024","7.841,00","7.745,00","7.854,00","7.584,00","0,45K","2,26%"
"27.11.2024","7.668,00","7.840,00","7.919,00","7.650,00","1,30K","-2,08%"
"26.11.2024","7.831,00","7.655,00","7.879,00","7.550,00","1,43K","2,22%"
"25.11.2024","7.661,00","7.749,00","7.811,00","7.579,00","1,01K","-1,22%"
"22.11.2024","7.756,00","7.370,00","7.920,00","7.370,00","1,57K","5,62%"
"21.11.2024","7.343,00","7.206,00","7.390,00","7.179,00","0,81K","1,90%"
"20.11.2024","7.206,00","7.250,00","7.300,00","7.144,00","1,19K","-0,40%"
"19.11.2024","7.235,00","6.928,00","7.285,00","6.914,00","3,12K","3,49%"
"18.11.2024","6.991,00","7.157,00","7.157,00","6.853,00","1,22K","-1,62%"
"15.11.2024","7.106,00","7.087,00","7.269,00","6.999,00","2,37K","1,27%"
"14.11.2024","7.017,00","6.535,00","7.080,00","6.535,00","2,84K","7,87%"
"13.11.2024","6.505,00","6.265,00","6.785,00","6.240,00","2,80K","4,16%"
"12.11.2024","6.245,00","5.985,00","6.263,00","5.953,00","3,46K","5,22%"
"11.11.2024","5.935,00","5.888,00","6.000,00","5.864,00","1,78K","1,89%"
"08.11.2024","5.825,00","5.814,00","5.930,00","5.797,00","2,82K","-0,02%"
"07.11.2024","5.826,00","5.510,00","5.844,00","5.471,00","2,43K","5,99%"
"06.11.2024","5.497,00","5.664,00","5.712,00","5.484,00","2,34K","-3,10%"
"05.11.2024","5.673,00","5.801,00","5.802,00","5.546,00","3,12K","-2,04%"
"04.11.2024","5.791,00","5.871,00","5.933,00","5.715,00","3,95K","-1,36%"
"01.11.2024","5.871,00","5.861,00","5.937,00","5.784,00","2,19K","0,43%"
"31.10.2024","5.846,00","5.915,00","5.933,00","5.827,00","3,80K","-0,22%"
"30.10.2024","5.859,00","5.788,00","5.900,00","5.639,00","3,75K","1,10%"
"29.10.2024","5.795,00","5.456,00","5.826,00","5.450,00","4,38K","6,21%"
"28.10.2024","5.456,00","5.237,00","5.481,00","5.200,00","4,19K","4,28%"
"25.10.2024","5.232,00","5.176,00","5.380,00","4.924,00","5,43K","1,10%"
"24.10.2024","5.175,00","5.462,00","5.476,00","5.162,00","4,67K","-3,81%"
"23.10.2024","5.380,00","5.458,00","5.524,00","5.323,00","3,74K","-1,25%"
"22.10.2024","5.448,00","5.602,00","5.641,00","5.338,00","4,89K","-2,75%"
"21.10.2024","5.602,00","5.607,00","5.687,00","5.500,00","3,23K","0,45%"
"18.10.2024","5.577,00","5.835,00","5.984,00","5.523,00","4,29K","-4,18%"
"17.10.2024","5.820,00","5.725,00","5.941,00","5.616,00","2,30K","1,23%"
"16.10.2024","5.749,00","5.830,00","6.058,00","5.728,00","5,87K","-0,73%"
"15.10.2024","5.791,00","5.640,00","5.805,00","5.614,00","4,01K","2,64%"
"14.10.2024","5.642,00","5.676,00","5.798,00","5.629,00","4,97K","-0,02%"
"11.10.2024","5.643,00","5.518,00","5.790,00","5.489,00","6,34K","2,21%"
"10.10.2024","5.521,00","5.392,00","5.538,00","5.252,00","4,04K","2,72%"
"09.10.2024","5.375,00","5.140,00","5.449,00","5.118,00","5,12K","4,96%"
"08.10.2024","5.121,00","5.095,00","5.236,00","5.038,00","3,84K","1,77%"
"07.10.2024","5.032,00","5.118,00","5.131,00","4.992,00","2,37K","-1,49%"
"04.10.2024","5.108,00","5.128,00","5.142,00","4.900,00","3,32K","1,03%"
"03.10.2024","5.056,00","4.975,00","5.132,00","4.862,00","4,31K","1,98%"
"02.10.2024","4.958,00","5.117,00","5.349,00","4.894,00","8,30K","-2,90%"
"01.10.2024","5.106,00","5.292,00","5.367,00","5.100,00","6,10K","-2,58%"
"30.09.2024","5.241,00","5.553,00","5.554,00","5.225,00","5,56K","-5,35%"
"27.09.2024","5.537,00","5.352,00","5.582,00","5.301,00","4,26K","3,98%"
"26.09.2024","5.325,00","5.312,00","5.730,00","5.298,00","7,98K","0,40%"
"25.09.2024","5.304,00","5.200,00","5.371,00","5.138,00","6,08K","2,26%"
"24.09.2024","5.187,00","5.268,00","5.296,00","5.134,00","6,33K","-1,54%"
"23.09.2024","5.268,00","5.298,00","5.327,00","5.229,00","3,96K","0,00%"
"20.09.2024","5.268,00","5.301,00","5.342,00","5.240,00","3,50K","-0,72%"
"19.09.2024","5.306,00","5.401,00","5.432,00","5.294,00","2,78K","-1,65%"
"18.09.2024","5.395,00","5.273,00","5.409,00","5.267,00","2,99K","2,18%"
"17.09.2024","5.280,00","5.410,00","5.439,00","5.200,00","3,72K","-2,15%"
"16.09.2024","5.396,00","5.393,00","5.500,00","5.288,00","4,29K","-2,56%"
"13.09.2024","5.538,00","5.307,00","5.307,00","5.307,00","0,02K","3,28%"
"12.09.2024","5.362,00","5.401,00","5.448,00","5.359,00","0,08K","-0,54%"
"11.09.2024","5.391,00","5.164,00","5.411,00","5.158,00","0,21K","5,03%"
"10.09.2024","5.133,00","5.423,00","5.424,00","5.118,00","0,88K","-5,71%"
"09.09.2024","5.444,00","5.302,00","5.459,00","5.300,00","0,63K","4,19%"
"06.09.2024","5.225,00","5.260,00","5.375,00","5.208,00","0,70K","1,10%"
"05.09.2024","5.168,00","4.895,00","5.241,00","4.895,00","0,99K","5,92%"
"04.09.2024","4.879,00","5.082,00","5.098,00","4.842,00","1,87K","-4,03%"
"03.09.2024","5.084,00","5.580,00","5.606,00","5.071,00","2,17K","-9,17%"
"02.09.2024","5.597,00","5.526,00","5.609,00","5.520,00","0,46K","0,20%"
"30.08.2024","5.586,00","5.604,00","5.729,00","5.530,00","1,78K","0,20%"
"29.08.2024","5.575,00","5.672,00","5.809,00","5.568,00","3,27K","-1,62%"
"28.08.2024","5.667,00","5.750,00","5.800,00","5.571,00","1,50K","-1,15%"
"27.08.2024","5.733,00","6.350,00","6.410,00","5.664,00","3,96K","-8,71%"
"23.08.2024","6.280,00","6.315,00","6.402,00","6.260,00","1,30K","-0,98%"
"22.08.2024","6.342,00","6.351,00","6.379,00","6.115,00","1,60K","0,00%"
"21.08.2024","6.342,00","6.460,00","6.550,00","6.300,00","1,59K","-1,41%"
"20.08.2024","6.433,00","6.378,00","6.490,00","6.251,00","1,58K","0,96%"
"19.08.2024","6.372,00","6.355,00","6.646,00","6.255,00","1,53K","0,36%"
"16.08.2024","6.349,00","6.393,00","6.478,00","6.315,00","1,47K","0,27%"
"15.08.2024","6.332,00","6.468,00","6.545,00","6.310,00","1,27K","-1,46%"
"14.08.2024","6.426,00","6.559,00","6.559,00","6.400,00","1,44K","-0,89%"
"13.08.2024","6.484,00","6.546,00","6.616,00","6.411,00","1,13K","0,15%"
"12.08.2024","6.474,00","6.687,00","6.764,00","6.441,00","2,01K","-3,27%"
"09.08.2024","6.693,00","6.460,00","6.812,00","6.408,00","2,27K","5,45%"
"08.08.2024","6.347,00","6.698,00","6.796,00","6.295,00","3,09K","-3,73%"
"07.08.2024","6.593,00","6.500,00","6.820,00","6.493,00","4,33K","1,56%"
"06.08.2024","6.492,00","6.321,00","6.500,00","6.231,00","2,83K","3,31%"
"05.08.2024","6.284,00","6.010,00","6.346,00","5.881,00","3,43K","4,32%"
"02.08.2024","6.024,00","5.996,00","6.207,00","5.970,00","2,59K","0,33%"
"01.08.2024","6.004,00","6.421,00","6.449,00","5.971,00","6,25K","-6,58%"
"31.07.2024","6.427,00","6.565,00","6.598,00","6.381,00","3,06K","-1,85%"
"30.07.2024","6.548,00","6.369,00","6.612,00","6.290,00","3,47K","3,48%"
"29.07.2024","6.328,00","6.515,00","6.538,00","6.293,00","3,70K","-2,87%"
"26.07.2024","6.515,00","6.478,00","6.563,00","6.310,00","2,44K","1,88%"
"25.07.2024","6.395,00","6.677,00","6.728,00","6.381,00","3,42K","-4,22%"
"24.07.2024","6.677,00","6.823,00","6.870,00","6.650,00","3,33K","-1,90%"
"23.07.2024","6.806,00","6.790,00","6.880,00","6.698,00","2,68K","-0,53%"
"22.07.2024","6.842,00","6.355,00","6.860,00","6.302,00","3,31K","7,95%"
"19.07.2024","6.338,00","6.655,00","6.830,00","6.290,00","3,74K","-4,30%"
"18.07.2024","6.623,00","6.323,00","6.695,00","6.301,00","2,80K","4,79%"
"17.07.2024","6.320,00","6.521,00","6.661,00","6.290,00","4,69K","-15,60%"
"16.07.2024","7.488,00","8.141,00","8.141,00","8.141,00","0,02K","-8,84%"
"15.07.2024","8.214,00","7.166,00","8.240,00","7.155,00","0,28K","11,83%"
"12.07.2024","7.345,00","7.585,00","7.756,00","7.288,00","0,31K","-3,33%"
"11.07.2024","7.598,00","7.510,00","7.629,00","7.268,00","0,41K","3,14%"
"10.07.2024","7.367,00","7.478,00","7.520,00","7.290,00","0,25K","-1,26%"
"09.07.2024","7.461,00","7.223,00","7.489,00","6.919,00","0,72K","4,66%"
"08.07.2024","7.129,00","7.407,00","7.436,00","7.091,00","0,60K","-3,14%"
"05.07.2024","7.360,00","7.299,00","7.425,00","7.180,00","1,01K","1,80%"
"04.07.2024","7.230,00","7.686,00","7.758,00","7.205,00","0,78K","-6,06%"
"03.07.2024","7.696,00","7.688,00","7.985,00","7.651,00","1,36K","-0,12%"
"02.07.2024","7.705,00","7.334,00","7.721,00","7.283,00","0,83K","4,19%"
"01.07.2024","7.395,00","7.352,00","7.458,00","7.097,00","2,61K","-1,73%"
"28.06.2024","7.525,00","7.050,00","7.549,00","6.818,00","2,56K","5,10%"
"27.06.2024","7.160,00","7.800,00","7.800,00","6.971,00","1,86K","-8,37%"
"26.06.2024","7.814,00","7.800,00","7.860,00","7.464,00","0,55K","0,04%"
"25.06.2024","7.811,00","7.699,00","7.919,00","7.097,00","2,50K","1,80%"
"24.06.2024","7.673,00","8.229,00","8.362,00","7.414,00","3,04K","-7,68%"
"21.06.2024","8.311,00","8.145,00","8.766,00","8.100,00","2,22K","1,17%"
"20.06.2024","8.215,00","8.535,00","8.673,00","8.160,00","1,00K","-3,53%"
"19.06.2024","8.516,00","8.461,00","8.589,00","8.252,00","0,56K","0,38%"
"18.06.2024","8.484,00","8.472,00","8.602,00","8.261,00","1,10K","0,77%"
"17.06.2024","8.419,00","8.792,00","8.901,00","8.282,00","1,92K","-4,73%"
"14.06.2024","8.837,00","8.851,00","9.092,00","8.100,00","3,20K","-2,19%"
"13.06.2024","9.035,00","8.675,00","9.150,00","8.675,00","2,66K","4,34%"
"12.06.2024","8.659,00","8.127,00","8.737,00","8.127,00","2,65K","6,73%"
"11.06.2024","8.113,00","7.853,00","8.128,00","7.846,00","2,84K","2,24%"
"10.06.2024","7.935,00","8.021,00","8.100,00","7.817,00","1,92K","-0,68%"
"07.06.2024","7.989,00","7.835,00","8.000,00","7.797,00","2,27K","1,65%"
"06.06.2024","7.859,00","7.698,00","7.886,00","7.670,00","3,04K","3,44%"
"05.06.2024","7.598,00","7.491,00","7.636,00","7.384,00","3,56K","-0,54%"
"04.06.2024","7.639,00","7.480,00","7.712,00","7.252,00","3,72K","-0,33%"
"03.06.2024","7.664,00","7.441,00","7.846,00","7.359,00","4,18K","2,96%"
"31.05.2024","7.444,00","7.430,00","7.529,00","7.268,00","2,89K","0,32%"
"30.05.2024","7.420,00","7.535,00","7.700,00","7.300,00","3,72K","-1,64%"
"29.05.2024","7.544,00","6.985,00","7.619,00","6.983,00","4,03K","6,55%"
"28.05.2024","7.080,00","6.819,00","7.096,00","6.609,00","5,58K","3,83%"
"24.05.2024","6.819,00","6.701,00","6.880,00","6.512,00","5,01K","2,51%"
"23.05.2024","6.652,00","6.185,00","6.684,00","6.082,00","3,92K","6,55%"
"22.05.2024","6.243,00","6.049,00","6.278,00","6.045,00","2,25K","2,16%"
"21.05.2024","6.111,00","5.988,00","6.183,00","5.730,00","3,47K","2,05%"
"20.05.2024","5.988,00","6.100,00","6.156,00","5.659,00","4,64K","-2,17%"
"17.05.2024","6.121,00","6.222,00","6.495,00","6.028,00","3,68K","-1,73%"
"16.05.2024","6.229,00","6.520,00","6.731,00","6.070,00","4,17K","-1,03%"
"15.05.2024","6.294,00","6.294,00","6.294,00","6.294,00","","4,64%"
"14.05.2024","6.015,00","5.800,00","6.379,00","5.800,00","0,20K","2,61%"
"13.05.2024","5.862,00","7.700,00","7.700,00","5.855,00","0,96K","-22,42%"
"10.05.2024","7.556,00","7.867,00","8.130,00","7.500,00","0,74K","-1,76%"
"09.05.2024","7.691,00","7.981,00","8.123,00","7.559,00","0,70K","-3,00%"
"08.05.2024","7.929,00","8.415,00","8.454,00","7.883,00","0,77K","-0,88%"
"07.05.2024","7.999,00","7.074,00","8.032,00","6.941,00","0,92K","7,18%"
"03.05.2024","7.463,00","7.047,00","7.464,00","6.619,00","1,00K","4,47%"
"02.05.2024","7.144,00","7.300,00","7.679,00","7.000,00","0,81K","-8,50%"
"01.05.2024","7.808,00","8.314,00","8.730,00","7.797,00","1,83K","-8,36%"
"30.04.2024","8.520,00","8.229,00","8.617,00","7.249,00","5,68K","3,97%"
"29.04.2024","8.195,00","9.414,00","9.414,00","8.030,00","2,64K","-13,23%"
"26.04.2024","9.444,00","9.633,00","9.870,00","9.385,00","1,87K","-1,80%"
"25.04.2024","9.617,00","10.000,00","10.051,00","9.504,00","1,43K","-1,78%"
"24.04.2024","9.791,00","9.500,00","9.800,00","9.500,00","1,18K","3,55%"
"23.04.2024","9.455,00","9.910,00","9.969,00","9.200,00","2,33K","-4,85%"
"22.04.2024","9.937,00","10.265,00","10.265,00","9.900,00","1,14K","-1,97%"
"19.04.2024","10.137,00","9.823,00","10.265,00","9.699,00","2,65K","4,72%"
"18.04.2024","9.680,00","9.001,00","9.809,00","9.001,00","2,75K","9,49%"
"17.04.2024","8.841,00","8.547,00","9.003,00","8.547,00","1,92K","2,26%"
"16.04.2024","8.646,00","9.238,00","9.312,00","8.600,00","1,59K","-5,79%"
"15.04.2024","9.177,00","8.914,00","9.235,00","8.869,00","2,20K","2,13%"
"12.04.2024","8.986,00","8.570,00","9.000,00","8.550,00","1,54K","4,85%"
"11.04.2024","8.570,00","8.490,00","8.700,00","8.459,00","2,09K","1,44%"
"10.04.2024","8.448,00","8.282,00","8.500,00","8.180,00","1,73K","2,59%"
"09.04.2024","8.235,00","8.050,00","8.253,00","7.884,00","3,47K","0,44%"
"08.04.2024","8.199,00","8.070,00","8.430,00","8.038,00","3,51K","2,54%"
"05.04.2024","7.996,00","7.841,00","8.080,00","7.735,00","3,74K","3,35%"
"04.04.2024","7.737,00","7.894,00","7.905,00","7.584,00","5,25K","-1,65%"
"03.04.2024","7.867,00","8.380,00","8.459,00","7.783,00","9,50K","-6,17%"
"02.04.2024","8.384,00","8.665,00","8.690,00","8.347,00","7,38K","1,30%"
"28.03.2024","8.276,00","8.266,00","8.400,00","8.174,00","6,43K","0,83%"
"27.03.2024","8.208,00","8.150,00","8.230,00","7.861,00","9,19K","-0,04%"
"26.03.2024","8.211,00","8.214,00","8.682,00","8.194,00","12,00K","0,22%"
"25.03.2024","8.193,00","7.474,00","8.232,00","7.422,00","8,37K","9,81%"
"22.03.2024","7.461,00","7.127,00","7.500,00","7.058,00","5,18K","4,53%"
"21.03.2024","7.138,00","6.939,00","7.173,00","6.883,00","8,81K","2,90%"
"20.03.2024","6.937,00","6.706,00","6.960,00","6.499,00","7,70K","3,68%"
"19.03.2024","6.691,00","6.854,00","6.999,00","6.675,00","5,81K","-1,66%"
"18.03.2024","6.804,00","6.616,00","6.995,00","6.520,00","14,76K","4,00%"
"15.03.2024","6.542,00","6.124,00","6.574,00","6.034,00","11,73K","6,60%"
"14.03.2024","6.137,00","5.773,00","6.275,00","5.773,00","9,19K","0,80%"
"13.03.2024","6.088,00","6.157,00","6.157,00","5.901,00","0,24K","-1,31%"
"12.03.2024","6.169,00","5.947,00","6.180,00","5.853,00","0,41K","3,73%"
"11.03.2024","5.947,00","5.530,00","5.948,00","5.530,00","0,91K","7,17%"
"08.03.2024","5.549,00","5.665,00","5.726,00","5.500,00","0,69K","-2,05%"
"07.03.2024","5.665,00","5.800,00","5.805,00","5.595,00","0,88K","-1,84%"
"06.03.2024","5.771,00","5.800,00","5.865,00","5.642,00","1,64K","-0,33%"
"05.03.2024","5.790,00","5.904,00","5.920,00","5.760,00","1,28K","-1,31%"
"04.03.2024","5.867,00","5.608,00","5.917,00","5.591,00","1,23K","4,40%"
